Region,bulk_carrier_capesize_ice,bulk_carrier_handy_ice,bulk_carrier_ice,bulk_carrier_panamax_ice,container_15000_teu_ice,container_3500_teu_ice,container_8000_teu_ice,container_ice,fleet,gas_carrier_100k_cbm_ice,gas_carrier_ice,tanker_100k_dwt_ice,tanker_300k_dwt_ice,tanker_35k_dwt_ice,tanker_ice
Global,13030275677862.76,3197169111550.296,35569925635993.266,19342480846580.207,17578968397202.393,26632657257400.188,23685194153941.414,67896819808543.99,158230064676597.7,10493604891598.506,10493604891598.506,18051192689855.33,17686929349613.035,8531592300993.562,44269714340461.92
Global Average,13030275677862.76,3197169111550.296,35569925635993.266,19342480846580.207,17578968397202.393,26632657257400.188,23685194153941.414,67896819808543.99,158230064676597.7,10493604891598.506,10493604891598.506,18051192689855.33,17686929349613.035,8531592300993.562,44269714340461.92
