Region,bulk_carrier_capesize_ice,bulk_carrier_handy_ice,bulk_carrier_ice,bulk_carrier_panamax_ice,container_15000_teu_ice,container_3500_teu_ice,container_8000_teu_ice,container_ice,fleet,gas_carrier_100k_cbm_ice,gas_carrier_ice,tanker_100k_dwt_ice,tanker_300k_dwt_ice,tanker_35k_dwt_ice,tanker_ice
Global,2555700.289264405,1172520.681380162,1585518.076930286,1550403.776232328,7798748.170146843,2414643.089581414,4998556.806068858,3423060.1220611497,2244916.189636891,5551570.984493042,5551570.984493042,2500902.38262049,4492483.094191382,1267252.851305533,1830526.2588929345
Global Average,2555700.289264405,1172520.681380162,1585518.076930286,1550403.776232328,7798748.170146843,2414643.089581414,4998556.806068858,3423060.1220611497,2244916.189636891,5551570.984493042,5551570.984493042,2500902.38262049,4492483.094191382,1267252.851305533,1830526.2588929345
