Region,bulk_carrier_capesize_ice,bulk_carrier_handy_ice,bulk_carrier_ice,bulk_carrier_panamax_ice,container_15000_teu_ice,container_3500_teu_ice,container_8000_teu_ice,container_ice,fleet,gas_carrier_100k_cbm_ice,gas_carrier_ice,tanker_100k_dwt_ice,tanker_300k_dwt_ice,tanker_35k_dwt_ice,tanker_ice
Global,27470235.500476744,8911694.192117896,14453652.856569469,13983141.908450568,72777992.23210831,22000105.423220947,61711533.67262515,34832667.96048165,20114940.321261663,31114059.719779152,31114059.719779152,23269186.37704193,47570883.43867806,11874785.776152423,17470760.08845069
Global Average,27470235.500476744,8911694.192117896,14453652.856569469,13983141.908450568,72777992.23210831,22000105.423220947,61711533.67262515,34832667.96048165,20114940.321261663,31114059.719779152,31114059.719779152,23269186.37704193,47570883.43867806,11874785.776152423,17470760.08845069
