Region,bulk_carrier_capesize_ice,bulk_carrier_handy_ice,bulk_carrier_ice,bulk_carrier_panamax_ice,container_15000_teu_ice,container_3500_teu_ice,container_8000_teu_ice,container_ice,fleet,gas_carrier_100k_cbm_ice,gas_carrier_ice,tanker_100k_dwt_ice,tanker_300k_dwt_ice,tanker_35k_dwt_ice,tanker_ice
Global,461813.7161076922,119834.1700961538,222296.2980472612,213956.370893077,1261118.339498077,350305.7962499999,1112543.565646154,591296.547766527,299878.4156812474,468179.450446154,468179.450446154,327545.7369923077,782765.8061330769,119327.175,222328.3772424818
Global Average,461813.7161076922,119834.1700961538,222296.2980472612,213956.370893077,1261118.339498077,350305.7962499999,1112543.565646154,591296.547766527,299878.4156812474,468179.450446154,468179.450446154,327545.7369923077,782765.8061330769,119327.175,222328.3772424818
